name,text,category
Facebook posts,"This photo shows ""headache treatments in 1890s known as vibration therapy.""",true
Rick Scott,"""The latest with the Durham report is that the Clinton campaign … actually spied on the president of the United States.”",true
Viral image,Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,true
Facebook posts,Queen Elizabeth II is dead.,true
Facebook posts,President John F. Kennedy “was planning to end the Federal Reserve.”,true
Viral image,"Says Rep. Marjorie Taylor Greene said, “If it weren’t for electricity, we’d all be watching TV by candlelight.”",true
Viral image,An image shows “a medical oddity that is characterized by having two pupils in each eyeball.”,true
TikTok posts,“Airline CEO gets pied for forcing vaccinations”,true
Facebook posts,“CNN confirms Trump WILL be ARRESTED.”,true
Bloggers,"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”",true
Facebook posts,“Trudeau declares Emergencies Act amounting to near martial law in Canada.”,true
Facebook posts,"""Ivanka Trump charged with major crime.”",true
Jesse Watters,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",true
Facebook posts,"“Johns Hopkins University confirms: You can be vaccinated with a PCR test, even without knowing”",true
Facebook posts,"""According to Congress, travel nurses need a pay cap.”",true
Tweets,Turning Point USA is a white nationalist organization.,true
Viral image,Buzz Aldrin’s comments during an interview with Conan O’Brien prove the moon landing was fake.,true
Infowars,"""Study proves children’s hearts destroyed by COVID vaccine.""",true
Instagram posts,"The New York City Police Department arrested a 9-year-old ""because she didn’t have a vaccine card in the museum.""",true
Facebook posts,The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,true
Tweets,"""Books banned in Texas include 1984, Maus, and The Handmaid's Tale, but not Mein Kampf.""",true
Tweets,A video shows that “OnlyFans has guys on campus encouraging your daughters to do porn for ‘financial freedom.’”,true
Bloggers,COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,true
Facebook posts,"COVID spelled backward is “divoc” which means ""possession of the evil spirit"" in Hebrew.",true
Dave McCormick,“We all know China created COVID.”,true
Facebook posts,Says a Washington Post headline and graphic about COVID-19 deaths are misleading.,true
Bloggers,"In England, “official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.”",true
Facebook posts,Says Bob Saget predicted his death,true
Facebook posts,“Got the old killdozer loaded up heading for Ottawa.”,true
Facebook posts,"Girl Scouts support ""Planned Parenthood and pro-abortion politicians.""",true
JD Vance,“Joe Biden uses the ATF to illegally track your gun transactions.”,true
Nicole Sirotek,Says remdesivir is responsible for killing patients hospitalized with COVID-19.,true
Viral image,Kendall Jenner edited a photo to look like she was holding a “Black Lives Matter” sign.,true
Facebook posts,"Says C.S. Lewis wrote, “They believed blindly everything they heard or read in the papers. They gave up their freedoms.”",true
Facebook posts,Comedian Heather McDonald collapsed on stage as a result of the COVID-19 vaccine.,true
Facebook posts,"“Joe Biden wants to eliminate a regulation that requires school districts to report allegations of teacher on student rape, alleged rape, and sexual assault.”",true
Facebook posts,“Fifty percent of the Ottawa police force have all turned in their resignation.”,true
Facebook posts,The federal government requires “COVID passports to visit the movies.”,true
Facebook posts,“Crisis actor in Germany forgets he’s filming on TV.”,true
Viral image,Joe Biden gave his used face mask to Stephen Breyer.,true
Tyler Lee,"ICE has been illegally releasing immigrants “in Huntersville #NC13 at big box retail locations. Feds aren’t notifying anyone, just making secret drops at 3am.”",true
Ronna McDaniel,"""We've had two members engage in a Democrat-led persecution of ordinary citizens who engaged in legitimate political discourse.”",true
Facebook posts,"Turkey, Brazil, Britain, Sweden, Spain, Czech Republic, Mexico, El Salvador, Japan and Singapore canceled all COVID-19 quarantine procedures, testing and compulsory vaccination and are considering COVID-19 “just a seasonal flu.”",true
Mauro Garza,"“They call” Jan. 6 “an insurrection,” but “were FBI agents used as political agitators?""",true
Viral image,"A Walmart in Dickson City, Pennsylvania, ran out of food.",true
NaturalNews.com,"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",true
Jonathon Moseley,“It’s not illegal to go inside the Capitol” as the Oath Keepers and other Jan. 6 rioters did.,true
Watts Up With That,“Facebook is spamming all climate articles by misleading readers about” the accuracy of climate models.,true
Facebook posts,"“Few, If Any, Doses of Spikevax or Comirnaty Available in United States, Despite FDA Approvals”",true
Facebook posts,"$2,000 stimulus checks were due on Jan. 19.",true
Facebook posts,“Pennsylvania had 2.6 million mail in votes that the court of appeals of PA held to be unconstitutional. Umm that alone means Biden lost PA.”,true
Facebook posts,"A photo shows a crash in Eminence, Indiana.",true
Facebook posts,"Says Johns Hopkins virologist ""James Kelly"" said the COVID-19 vaccine “discriminates, divides, and judges society as it is.”",true
Instagram posts,“Canadian Prime Minister Justin Trudeau pays mainstream media $600 million to report in favor of him.”,true
Bloggers,Dr. Phil and other celebrities are endorsing CBD gummies.,true
Tweets,Research from Japan shows “ivermectin is effective against omicron in Phase III trial.”,true
Facebook posts,‘The Simpsons’ predicted Canada’s trucker convoy protest.,true
Instagram posts,“The convoy in Canada has made the Guinness Book of World Records for the longest convoy.”,true
Viral image,Picture shows the “Freedom Convoy” trucks in Canada.,true
Viral image,“Over 65% of the country believes that (the) 2020 election was fraudulent. That number was around 35% a year ago.”,true
Facebook posts,"""British data show the COVID shots are an abysmal failure, as COVID infection rates in the U.K. are higher among the ‘fully vaccinated’ in all adult cohorts.”",true
Facebook posts,Hundreds of ‘illegals’ were dropped off at Florida hotel.,true
Tweets,"Video shows troops at the Ukraine-Russia border on Jan. 27, 2022.",true
Donald Trump,Proposed changes to the Electoral Count act show Pence had the power and “could have overturned the election!”,true
Facebook posts,Says Jen Psaki said in January 2022 that people will start seeing direct deposits in their bank account this weekend and payments to eligible Americans will continue for several weeks.,true
Bloggers,"Bruce Springsteen, Queen, Pearl Jam and Dave Grohl removed their music from Spotify.",true
Bloggers,The CDC staged “the ‘escaping monkeys’ as a cover story for releasing the next bioweapon.”,true
Thomas Massie,"Says Voltaire said, “To learn who rules over you, simply find out who you are not allowed to criticize.”",true
Facebook posts,Image shows a patient experiencing claustrophobia and having a panic attack during a CT scan.,true
Instagram posts,"Military data from 2021 show military members experienced spikes of 300% in miscarriages, almost 300% in cancer diagnoses and 1,000% in neurological issues.",true
Viral image,Photo shows Amish who drove 2.5 hours with the “Freedom Convoy” to cook them food at their next stop.,true
Facebook posts,"American taxpayer dollars provide “free housing, free medical, free state identification” to immigrants in the country illegally.",true
Facebook posts,"Vaccine makers “are shipping lots of jabs with varying ingredients, potency & EVEN placebo lots.”",true
Lori Lightfoot,"""Chicago maintained the lowest unemployment rate through most of 2021 of any large American city.""",true
Facebook posts,"""Large, peer-reviewed research study proves ivermectin works” as a COVID-19 preventative.",true
Ron Johnson,“All these athletes are dropping dead on the field” after receiving the COVID-19 vaccination.,true
Sean Hannity,“There's never been a president (before Joe Biden) that has made race and gender the defining factor” for a Supreme Court nomination.,true
Viral image,"250,000 trucks are participating in the “Freedom Convoy” in Canada.",true
Viral image,Says Kevin Costner recently debuted a new line of CBD gummies.,true
Viral image,"Says Dennis Miller said that if he didn’t see women protesting the Ghislaine Maxwell trial verdict “you're all frauds. This isn't justice for those women, this is a joke.""",true
Facebook posts,“Biden announces Medicare stimulus that provides free dental work to all Seniors who need it! Crowns and implants included.”,true
Viral image,Quotes show Joseph Stalin and Joe Biden expressed similar views about counting votes.,true
John Stockton,"“There’s 150 I believe now – it’s over 100 professional athletes dead, professional athletes, the prime of their life, dropping dead that are vaccinated, right on the pitch, right on the field, right on the court.""",true
Facebook posts,“It begins. Wisconsin Assembly votes to remove electoral votes from Biden.”,true
Jim Lamon,"The Biden-Harris administration ""wants to hand out $450,000 to illegal immigrants.""",true
Facebook posts,Texas Roadhouse is sending vouchers for a free steak dinner for four to everyone who shares and comments on a Facebook post.,true
Facebook posts,American citizens “pay $155 billion annually to make sure illegal immigrants are taken care of better than American citizens”,true
Facebook posts,"""If the FAA is worried about what the 5G deployment will do to the planes, what do you think it will do to our bodies?""",true
Facebook posts,"COVID-19-induced pneumonia is ""is actually mast cell degranulation of the lungs,"" a type of allergic reaction.",true
Facebook posts,“All communications to families from the US Navy have been halted.”,true
Facebook posts,President Joe Biden gave Congress an exemption from vaccine mandate,true
Viral image,Says Louie Anderson was flying to appear on Conan O’Brien’s show when he became ill a few weeks after receiving his third vaccine dose.,true
Viral image,"Says Chuck Norris recorded a video in response to the Biden administration saying, “Our great country and freedom are under attack.”",true
Facebook posts,"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",true
Aaron Rodgers,The CDC said that 75% of COVID-19 deaths have involved people with at least four comorbidities.,true
Mitch McConnell,The Freedom to Vote Act is “a sprawling takeover of our whole political system.”,true
TikTok posts,Richard von Coudenhove-Kalergi planned “the ethnocide of the peoples of Europe” through “the encouragement of mass non-white immigration.”,true
Facebook posts,“Dyson is canceling their contract with Walmart and selling off Dyson Supersonic” hair dryers “only for $1!”,true
Viral image,A schedule proves Donald Trump was recently participating in presidential activities.,true
Viral image,Four players have dropped out of the Australian Open with “chest pains.”,true
Viral image,Tim Tebow used to “kneel in prayer and the NFL complained.”,true
Viral image,"“Supreme Court Justice Sonia Sotomayor tests positive for COVID-19 despite triple vaccination, diligent masking and working from home.”",true
Michael Savage,Rabbi taken hostage in Texas synagogue is “anti-Zionist” who may have known gunman.,true
Tweets,Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,true
Instagram posts,"""Blue Cross Blue Shield pays your doctor a $40,000 bonus for fully vaccinating at least 100 patients under the age of two.""",true
Viral image,“DirecTV cancels OAN after Joe Biden orders media outlets and tech giants to banish voices that deviate from the regime’s official narrative.”,true
Facebook posts,Former President Donald Trump “is fluent in Japanese.”,true
Facebook posts,“If you stop testing (for COVID-19) it all goes away and people just have colds like before.”,true
Reiner Fuellmich,"""Even the WHO has conceded that the (SARS- CoV-2) virus … is no more dangerous than the common flu, with an infection fatality rate of 0.14%.""",true
Facebook posts,Images show how climate change destroyed the Greenland ice sheet and harmed a polar bear from 2009 to 2019.,true
America First Political Committee,Carlos Gimenez “wants a national database to track you and discriminate against you.”,true
TikTok posts,Video shows Alexandria Ocasio-Cortez pouring shots for a group of people “days before testing positive” for COVID-19.,true
Facebook posts,"“The Wisconsin voter roll has over 120,000 active voters who have been registered to vote for over 100 years.”",true
Viral image,"A Mack Trucks employee told Joe Biden, “You can’t drive anything besides the country into the ground.”",true
Joe Biden,"As a youth, “I got arrested” protesting for civil rights.",true
Viral image,"Retired U.S. presidents and members of Congress collect full salaries “for life.""",true
Viral image,"“When a person cries, if the first drop of the tears come from the right eye, it’s happiness. But when it comes from the left eye, it’s pain.”",true
Viral image,Video shows Rafael Nadal and Roger Federer laughing at Novak Djokovic after he was stuck in an Australian airport.,true
Viral image,Video shows China launching an “artificial sun” into space.,true
Facebook posts,“The CDC director just said that 75% of ‘Covid deaths’ occurred in people with at least four comorbidities.”,true
Viral image,"Says Steve Jobs said, “I realize that all my recognition and wealth that I have is meaningless in the face of imminent death.”",true
Tim Baxter,Says Alexandria Ocasio-Cortez “says that all young people want to be socialists.”,true
Facebook posts,Says Supreme Court Justice Sonia Sotomayor was photographed at dinner with Democratic lawmakers.,true
Facebook posts,"""Clarence Thomas’s wife was one of the organizers of Jan 6th""",true
Facebook posts,"""Biden's CDC Director ADMITS Her Own Employees Aren't Getting Vaccinated.""",true
Facebook posts,“A tragic end today” for CNN’s Sanjay Gupta,true
Tweets,Says Bob Saget died from the COVID-19 vaccine.,true
Dana Perino,A law backed by Virginia Democrats barred local sheriffs from having military equipment that “would have come in very helpful” with the I-95 traffic jam.,true
Dinesh D'Souza,"Recently released Jan. 6 footage shows ""these cops using massive amounts of force against unarmed Trump supporters, including women.""",true
Sonia Sotomayor,"“We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators” due to the coronavirus.",true
Rand Paul,“No one has been hospitalized for” the omicron variant of COVID-19.,true
Bloggers,Says Georgia Secretary of State Brad Raffensperger “to investigate himself over voter fraud.”,true
Bloggers,“Data from around the world suggests that omicron favors the fully vaccinated.”,true
Facebook posts,"If you have “natural immunity,” getting vaccinated against COVID-19 “is more likely to harm you severely.”",true
The Gateway Pundit,"""Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated”",true
Facebook posts,"""Half a million sharks could be killed to make the COVID-19 vaccine.""",true
Facebook posts,Electric vehicles would not have fared well in the Virginia snowstorm traffic jam.,true
Facebook posts,Pfizer made $37 billion in profit in its last quarter.,true
Joe Volk,"“In Wisconsin, we have 50% of the population paying 50%, 60%, 70%, sometimes 80% for their housing.”",true
TikTok posts,"When children are given vaccines for COVID-19, “a viral gene will be injected into your children's cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs.""",true
Viral image,Photo shows former French education minister Najat Vallaud-Belkacem herding sheep as a child in Morocco.,true
Viral image,An email shows that employers are requiring employees to wear masks during Zoom meetings.,true
Instagram posts,"Tylenol ""ruins your ability to kill” COVID-19.",true
Bloggers,"“Chief Justice John Roberts goes after the highest court in the land, citing their ‘inappropriate political influence.’”",true
Bloggers,“Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!”,true
Save America PAC,President Joe Biden “never had a” COVID-19 “plan.”,true
Facebook posts,President Joe Biden “has the lowest approval rating of any president ever.”,true
Instagram posts,"""Yale study: Vaccinated people more likely to be infected than those without the jab.”",true
Facebook posts,A judge sealed “all the evidence and proof of who helped Ghislaine Maxwell sex traffic children.”,true
Instagram posts,The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,true
Facebook posts,Vaccines are why flights have been shut down worldwide.,true
Congressional Progressive Caucus PAC,“Trump cut Social Security benefits by over $3 billion.”,true
Tweets,“WHO Director-General: The vaccines are being used to kill children.”,true
Peter McCollough,Teens are “more likely to be hospitalized with myocarditis” from the COVID-19 vaccines than to be “hospitalized with COVID.”,true
Facebook posts,"""Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.""",true
Facebook posts,NASA study says snake plants can produce enough oxygen for humans to live in a sealed room.,true
Alexandria Ocasio-Cortez,"“I represent more, or just as many or more, people than Joe Manchin does.”",true
Facebook posts,"Eating grapefruit, “if you're on antidepressants,” can “cause a fatal overdose.”",true
Bloggers,"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""",true
Facebook posts,"Says Kellogg’s tweeted, “Oh, so you think it's cool when workers strike jobs? Now replace 'jobs' with 'women.' Still think it's 'cool'?""",true
Facebook posts,"The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020.",true
Facebook posts,“Maybe they’re just calling the common cold … the omicron variant.”,true
Facebook posts,“Moderna patent uncovers horror nanocensor contained in bioweapon.”,true
Viral image,It’s a myth that autism is genetic.,true
Facebook posts,"“Dr. Ugur Sahin, CEO of BioNTech and inventor of the BIO N TECH Pfizer jab, refuses to take the jab for safety reasons.”",true
Bloggers,“Santa Claus arrested by German police for not wearing a mask.”,true
Facebook posts,“McDonald’s puts aborted baby fetuses in their food.”,true
Viral image,“Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virus.”,true
Viral image,Photo shows “the jabbed and the unjabbed … separated with a fence in a supermarket” in Germany.,true
